Date,Close
8/24/2012,9070.76
8/27/2012,9085.39
8/28/2012,9033.29
8/29/2012,9069.81
8/30/2012,8983.78
8/31/2012,8839.91
9/3/2012,8783.89
9/4/2012,8775.51
9/5/2012,8679.82
9/6/2012,8680.57
9/7/2012,8871.65
9/10/2012,8869.37
9/11/2012,8807.38
9/12/2012,8959.96
9/13/2012,8995.15
9/14/2012,9159.39
9/18/2012,9123.77
9/19/2012,9232.21
9/20/2012,9086.98
9/21/2012,9110.00
9/24/2012,9069.29
9/25/2012,9091.54
9/26/2012,8906.70
9/27/2012,8949.87
9/28/2012,8870.16
10/1/2012,8796.51
10/2/2012,8786.05
10/3/2012,8746.87
10/4/2012,8824.59
10/5/2012,8863.30
10/9/2012,8769.59
10/10/2012,8596.23
10/11/2012,8546.78
10/12/2012,8534.12
10/15/2012,8577.93
10/16/2012,8701.31
10/17/2012,8806.55
10/18/2012,8982.86
10/19/2012,9002.68
10/22/2012,9010.71
10/23/2012,9014.25
10/24/2012,8954.30
10/25/2012,9055.20
10/26/2012,8933.06
10/29/2012,8929.34
10/30/2012,8841.98
10/31/2012,8928.29
11/1/2012,8946.87
11/2/2012,9051.22
11/5/2012,9007.44
11/6/2012,8975.15
11/7/2012,8972.89
11/8/2012,8837.15
11/9/2012,8757.60
11/12/2012,8676.44
11/13/2012,8661.05
11/14/2012,8664.73
11/15/2012,8829.72
11/16/2012,9024.16
11/19/2012,9153.20
11/20/2012,9142.64
11/21/2012,9222.52
11/22/2012,9366.80
11/26/2012,9388.94
11/27/2012,9423.30
11/28/2012,9308.35
11/29/2012,9400.88
11/30/2012,9446.01
12/3/2012,9458.18
12/4/2012,9432.46
12/5/2012,9468.84
12/6/2012,9545.16
12/7/2012,9527.39
12/10/2012,9533.75
12/11/2012,9525.32
12/12/2012,9581.46
12/13/2012,9742.73
12/14/2012,9737.56
12/17/2012,9828.88
12/18/2012,9923.01
12/19/2012,10160.40
12/20/2012,10039.33
12/21/2012,9940.06
12/25/2012,10080.12
12/26/2012,10230.36
12/27/2012,10322.98
12/28/2012,10395.18
1/4/2013,10688.11
1/7/2013,10599.01
1/8/2013,10508.06
1/9/2013,10578.57
1/10/2013,10652.64
1/11/2013,10801.57
1/15/2013,10879.08
1/16/2013,10600.44
1/17/2013,10609.64
1/18/2013,10913.30
1/21/2013,10747.74
1/22/2013,10709.93
1/23/2013,10486.99
1/24/2013,10620.87
1/25/2013,10926.65
1/28/2013,10824.31
1/29/2013,10866.72
1/30/2013,11113.95
1/31/2013,11138.66
2/1/2013,11191.34
2/4/2013,11260.35
2/5/2013,11046.92
2/6/2013,11463.75
2/7/2013,11357.07
2/8/2013,11153.16
2/12/2013,11369.12
2/13/2013,11251.41
2/14/2013,11307.28
2/15/2013,11173.83
2/18/2013,11407.87
2/19/2013,11372.34
2/20/2013,11468.28
2/21/2013,11309.13
2/22/2013,11385.94
2/25/2013,11662.52
2/26/2013,11398.81
2/27/2013,11253.97
2/28/2013,11559.36
3/1/2013,11606.38
3/4/2013,11652.29
3/5/2013,11683.45
3/6/2013,11932.27
